Name;RAdeg;DEdeg;PosErr;Coord_Ref;GLON;GLAT;Xray_Type;Porb;Ppulse;Alt_Name;SpType;Vmag;e_Vmag;Gaia_DR3_ID;Gmag;e_Gmag;BP-RP;_2MASS_ID;Jmag;e_Jmag;Hmag;e_Hmag;Kmag;e_Kmag;WISE_ID;W1mag;e_W1mag;W2mag;e_W2mag;N_H;Min_Soft_Flux;Max_Soft_Flux;Soft_Xray_Var;Soft_Xray_Range;Min_Hard_Flux;Max_Hard_Flux;Hard_Xray_Var;Hard_Xray_Range;AG;Mean_Dist;Low_Dist;High_Dist;Incl;Mx;Mopt;B-V;E_B-V_;tMSP_Flag;Liu07_IDX;RK03_IDX;Orb_Ref;Pulse_Ref;Spect_Ref;Vmag_Ref;Gmag_Ref;JHK_Ref;WISE_Ref;N_H_Ref;AG_Ref;Dist_Ref;Mass_Ref
RX J1739.4-2942;264.874929;-29.702421;0.8602325267042626;2016ATel.8744....1T;358.64604968757055;0.7305661399178477;XT, BH?, XP?, RP;;;GRS 1736-297;Be?;;;;;;;;;;;;;;;;;;;3.0;36.4;330.0;9.065934065934066;0.5,10.0;1.19;552.0000000000001;463.86554621848745;20.0,80.0;10.452961672473867;8000.0;;;;;;;;2.0;;;;;2009ApJ...707..870B;;;;;2016ATel.8704....1B;2016ATel.8704....1B;2016ATel.8744....1T;
XTE J1739-285;264.9747463;-28.4962303;1.7814802865332986;2010ApJS..189...37E;359.71409868566445;1.2981404930433442;XB, XT, XP;;0.00258732212160414;;;;;;;;;;;;;;;;;;;;;1.73;0.010790899999999999;1870.0200000000002;173296.01794104293;0.2,12.0;16.01600006818771;23.3;1.4547951986014513;14.0,195.0;6.02787456445993;4059.9999999999995;1620.0;8310.0;;1.4;;;;;89.0;;;2021ApJ...907...79B;;;;;;2021ApJ...907...79B;2021ApJ...907...79B;2018AJ....156...58B;
Granat 1737-309;264.9833333333333;-30.983333333333334;120.0;1999A&A...342..496T;357.6111302267554;-0.030016300047001832;XT?;;;GRS 1737-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRS 1737-31;265.0375;-31.040000000000003;30.0;1997IAUC.6627....2U;357.5877925850064;-0.09945457174008102;BH?, XT;;;;;;;;;;;;;;;;;;;;;;;6.0;;1104.0000000000002;;2.0,10.0;;2640.0;;35.0,75.0;20.905923344947734;8500.0;7630.0;9370.0;;;;;;;87.0;;;;;;;;;2018MNRAS.475.1251M;2018MNRAS.475.1251M;2021ApJ...921..131J;
Swift J174038.1-273712;265.1587916666666;-27.62002777777778;3.4;2021ATel14536....1B;0.5432796185093967;1.6252745171025467;XT;;;;;;;;;;;;;;;;;;;;;;;0.7770000201457301;;17.49931383933067;;0.5,10.0;;29.530092103870512;;15.0,50.0;2.707317143364913;8000.0;;;;;;;;;;;;;;;;;;2020yCat.9058....0E;2020yCat.9058....0E;2021ATel14536....1B;
NGC 6397 U24;265.1728375;-53.66799722222222;0.28;2020MNRAS.493.6033Z;338.16985320243447;-11.955056743196408;GS, QNS, RP?;;;CXOGlb J174041.4-534004;;;;;;;;;;;;;;;;;;;;0.0906;0.00026441292369595;0.10888;411.78017503108794;0.5,6.0;;;;;0.31567944250871083;2510.0;2440.0;2580.0;;1.4;0.089;;0.18;;;;;;;;;;;2014MNRAS.444..443H;2014MNRAS.444..443H;2014MNRAS.444..443H;2014MNRAS.444..443H
IGR J17407-2808;265.17504166666663;-28.12361111111111;0.1;2011ATel.3688....1G;0.12361879085862462;1.3463371258917332;XT;;;CXOU J174042.0-280724;F?;;;;;;;;16.89;0.14;15.95;0.17;15.46;0.17;;;;;;1.5;0.14839950759034;7200.0;48517.68120333494;0.2,12.0;14.442999863624571;19320.0;1337.672241392067;17.0,60.0;5.2264808362369335;;3800.0;13000.0;;;;;2.27;;;;;;2011ATel.3688....1G;;;2011ATel.3688....1G;;2009ApJ...701.1627H;2009ApJ...701.1627H;2016A&A...593A..96R;
SLX 1737-282;265.1783501;-28.3022586;1.011166658004793;2010ApJS..189...37E;359.97360371234856;1.2492266204481215;XB;0.4583333333333333;;2E 1737.5-2817;;;;;;;;;;;;;;;;;;;;1.9000000000000001;46.00000000000001;185.9999931852485;4.043478112722793;3.0,10.0;24.0;88.72000000000001;3.6966666666666668;20.0,60.0;6.62020905923345;6500.0;5000.0;8000.0;65.0;1.4;;;3.5;;86.0;;2018MNRAS.473.3789A;;;;;;;2018MNRAS.473.3789A;2018MNRAS.473.3789A;2002A&A...389L..43I;
GRS 1739-278;265.666522;-27.747992;0.57601;2020A&A...641A.136W;0.6719920496938333;1.1758704725643168;BH, XT, RP;;;;;23.200000762939453;;;;;;;16.3;0.1;15.5;0.2;14.7;0.1;;;;;;2.5;4.0;19200.0;4800.0;2.0,10.0;2.88;7200.0;2500.0;15.0,50.0;8.710801393728222;7500.0;6000.0;8500.0;32.5;9.5;;;4.0;;88.0;;;;;2007A&A...469..807L;;1997A&A...323..158M;;2020ApJ...891...31X;2020ApJ...891...31X;2017MNRAS.470.4298Y;2018PASJ...70...67W
KS 1739-304;265.6833333333333;-30.514166666666668;96.0;1994A&A...289..419C;358.3274915300951;-0.29242199547014514;BH?, XT;;;;;;;;;;;;;;;;;;;;;;;1.4;0.12;216.0;1800.0000000000002;2.0,20.0;;5.340000000000001;;20.0,60.0;4.878048780487805;8500.0;;;;;;;;;90.0;;;;;;;;;2003ApJ...596.1220W;2003ApJ...596.1220W;2003ApJ...596.1220W;
